"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 09 16:53:51 UTC 2026","Fri Jan 09 16:53:51 UTC 2026","0","tests","test_sample","","","","test_sample",""
"broken","Fri Jan 09 16:53:49 UTC 2026","Fri Jan 09 16:53:49 UTC 2026","0","tests","test_productCheckOut","","","","test_validateTheCheckOutUI",""
"broken","Fri Jan 09 16:53:49 UTC 2026","Fri Jan 09 16:53:49 UTC 2026","0","tests","test_productCheckOut","","","","test_validateProductCheckOut",""
"passed","Fri Jan 09 16:53:51 UTC 2026","Fri Jan 09 16:54:03 UTC 2026","12404","tests","test_remainingConcepts","","","","test_datePickers",""
"broken","Fri Jan 09 16:53:49 UTC 2026","Fri Jan 09 16:53:49 UTC 2026","0","tests","test_results","","","","test_verifySearchResults",""
"broken","Fri Jan 09 16:53:49 UTC 2026","Fri Jan 09 16:53:49 UTC 2026","0","tests","test_login","","","","test_validateTheVisibilityofSwitchAccount",""
"broken","Fri Jan 09 16:53:49 UTC 2026","Fri Jan 09 16:53:49 UTC 2026","0","tests","test_login","","","","test_logInUsingvalidcreds",""
"broken","Fri Jan 09 16:54:35 UTC 2026","Fri Jan 09 16:54:35 UTC 2026","0","tests","test_results","","","","test_validate_addToCartFunctionality",""
